,Symb,Exch,Y_symb,G_symb,G_URL,Y_URL
31,ABZA,LSE,ABZA.L,LON:ABZA,https://www.google.com/finance?q=LON:ABZA,"http://finance.yahoo.com/echarts?s=ABZA.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
32,AC24,LSE,AC24.L,LON:AC24,https://www.google.com/finance?q=LON:AC24,"http://finance.yahoo.com/echarts?s=AC24.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
33,ACA,LSE,ACA.L,LON:ACA,https://www.google.com/finance?q=LON:ACA,"http://finance.yahoo.com/echarts?s=ACA.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
34,ACC,LSE,ACC.L,LON:ACC,https://www.google.com/finance?q=LON:ACC,"http://finance.yahoo.com/echarts?s=ACC.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
35,ACD,LSE,ACD.L,LON:ACD,https://www.google.com/finance?q=LON:ACD,"http://finance.yahoo.com/echarts?s=ACD.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
36,ACDAPR,LSE,ACDAPR.L,LON:ACDAPR,https://www.google.com/finance?q=LON:ACDAPR,"http://finance.yahoo.com/echarts?s=ACDAPR.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
37,ACDER,LSE,ACDER.L,LON:ACDER,https://www.google.com/finance?q=LON:ACDER,"http://finance.yahoo.com/echarts?s=ACDER.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
38,ACDF,LSE,ACDF.L,LON:ACDF,https://www.google.com/finance?q=LON:ACDF,"http://finance.yahoo.com/echarts?s=ACDF.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
39,ACDXUSR,LSE,ACDXUSR.L,LON:ACDXUSR,https://www.google.com/finance?q=LON:ACDXUSR,"http://finance.yahoo.com/echarts?s=ACDXUSR.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
40,ACHL,LSE,ACHL.L,LON:ACHL,https://www.google.com/finance?q=LON:ACHL,"http://finance.yahoo.com/echarts?s=ACHL.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
41,ACID,LSE,ACID.L,LON:ACID,https://www.google.com/finance?q=LON:ACID,"http://finance.yahoo.com/echarts?s=ACID.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
42,ACIM,LSE,ACIM.L,LON:ACIM,https://www.google.com/finance?q=LON:ACIM,"http://finance.yahoo.com/echarts?s=ACIM.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
43,ACL,LSE,ACL.L,LON:ACL,https://www.google.com/finance?q=LON:ACL,"http://finance.yahoo.com/echarts?s=ACL.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
44,ACNAN,LSE,ACNAN.L,LON:ACNAN,https://www.google.com/finance?q=LON:ACNAN,"http://finance.yahoo.com/echarts?s=ACNAN.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
45,ACNANCH,LSE,ACNANCH.L,LON:ACNANCH,https://www.google.com/finance?q=LON:ACNANCH,"http://finance.yahoo.com/echarts?s=ACNANCH.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
46,ACNANEU,LSE,ACNANEU.L,LON:ACNANEU,https://www.google.com/finance?q=LON:ACNANEU,"http://finance.yahoo.com/echarts?s=ACNANEU.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
47,ACNANUK,LSE,ACNANUK.L,LON:ACNANUK,https://www.google.com/finance?q=LON:ACNANUK,"http://finance.yahoo.com/echarts?s=ACNANUK.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
48,ACO,LSE,ACO.L,LON:ACO,https://www.google.com/finance?q=LON:ACO,"http://finance.yahoo.com/echarts?s=ACO.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
49,ACP,LSE,ACP.L,LON:ACP,https://www.google.com/finance?q=LON:ACP,"http://finance.yahoo.com/echarts?s=ACP.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
50,ACSO,LSE,ACSO.L,LON:ACSO,https://www.google.com/finance?q=LON:ACSO,"http://finance.yahoo.com/echarts?s=ACSO.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
51,ACT,LSE,ACT.L,LON:ACT,https://www.google.com/finance?q=LON:ACT,"http://finance.yahoo.com/echarts?s=ACT.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
52,ACWD,LSE,ACWD.L,LON:ACWD,https://www.google.com/finance?q=LON:ACWD,"http://finance.yahoo.com/echarts?s=ACWD.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
