,Symb,Exch,Y_symb,G_symb,G_URL,Y_URL
386,BBA,LSE,BBA.L,LON:BBA,https://www.google.com/finance?q=LON:BBA,"http://finance.yahoo.com/echarts?s=BBA.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
387,BBC30,LSE,BBC30.L,LON:BBC30,https://www.google.com/finance?q=LON:BBC30,"http://finance.yahoo.com/echarts?s=BBC30.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
388,BBEB,LSE,BBEB.L,LON:BBEB,https://www.google.com/finance?q=LON:BBEB,"http://finance.yahoo.com/echarts?s=BBEB.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
389,BBEM,LSE,BBEM.L,LON:BBEM,https://www.google.com/finance?q=LON:BBEM,"http://finance.yahoo.com/echarts?s=BBEM.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
390,BBGI,LSE,BBGI.L,LON:BBGI,https://www.google.com/finance?q=LON:BBGI,"http://finance.yahoo.com/echarts?s=BBGI.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
391,BBOX,LSE,BBOX.L,LON:BBOX,https://www.google.com/finance?q=LON:BBOX,"http://finance.yahoo.com/echarts?s=BBOX.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
392,BBSB,LSE,BBSB.L,LON:BBSB,https://www.google.com/finance?q=LON:BBSB,"http://finance.yahoo.com/echarts?s=BBSB.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
393,BBSN,LSE,BBSN.L,LON:BBSN,https://www.google.com/finance?q=LON:BBSN,"http://finance.yahoo.com/echarts?s=BBSN.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
394,BBY,LSE,BBY.L,LON:BBY,https://www.google.com/finance?q=LON:BBY,"http://finance.yahoo.com/echarts?s=BBY.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
395,BBYB,LSE,BBYB.L,LON:BBYB,https://www.google.com/finance?q=LON:BBYB,"http://finance.yahoo.com/echarts?s=BBYB.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
396,BC12,LSE,BC12.L,LON:BC12,https://www.google.com/finance?q=LON:BC12,"http://finance.yahoo.com/echarts?s=BC12.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
397,BC18,LSE,BC18.L,LON:BC18,https://www.google.com/finance?q=LON:BC18,"http://finance.yahoo.com/echarts?s=BC18.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
398,BC41,LSE,BC41.L,LON:BC41,https://www.google.com/finance?q=LON:BC41,"http://finance.yahoo.com/echarts?s=BC41.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
399,BC62,LSE,BC62.L,LON:BC62,https://www.google.com/finance?q=LON:BC62,"http://finance.yahoo.com/echarts?s=BC62.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
400,BC87,LSE,BC87.L,LON:BC87,https://www.google.com/finance?q=LON:BC87,"http://finance.yahoo.com/echarts?s=BC87.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
401,BC94,LSE,BC94.L,LON:BC94,https://www.google.com/finance?q=LON:BC94,"http://finance.yahoo.com/echarts?s=BC94.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
402,BCA,LSE,BCA.L,LON:BCA,https://www.google.com/finance?q=LON:BCA,"http://finance.yahoo.com/echarts?s=BCA.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
403,BCAP,LSE,BCAP.L,LON:BCAP,https://www.google.com/finance?q=LON:BCAP,"http://finance.yahoo.com/echarts?s=BCAP.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
404,BCGR,LSE,BCGR.L,LON:BCGR,https://www.google.com/finance?q=LON:BCGR,"http://finance.yahoo.com/echarts?s=BCGR.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
405,BCN,LSE,BCN.L,LON:BCN,https://www.google.com/finance?q=LON:BCN,"http://finance.yahoo.com/echarts?s=BCN.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
406,BCRE,LSE,BCRE.L,LON:BCRE,https://www.google.com/finance?q=LON:BCRE,"http://finance.yahoo.com/echarts?s=BCRE.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
407,BD45,LSE,BD45.L,LON:BD45,https://www.google.com/finance?q=LON:BD45,"http://finance.yahoo.com/echarts?s=BD45.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
408,BD56,LSE,BD56.L,LON:BD56,https://www.google.com/finance?q=LON:BD56,"http://finance.yahoo.com/echarts?s=BD56.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
409,BD90,LSE,BD90.L,LON:BD90,https://www.google.com/finance?q=LON:BD90,"http://finance.yahoo.com/echarts?s=BD90.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
410,BDEV,LSE,BDEV.L,LON:BDEV,https://www.google.com/finance?q=LON:BDEV,"http://finance.yahoo.com/echarts?s=BDEV.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
411,BDI,LSE,BDI.L,LON:BDI,https://www.google.com/finance?q=LON:BDI,"http://finance.yahoo.com/echarts?s=BDI.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
412,BE01,LSE,BE01.L,LON:BE01,https://www.google.com/finance?q=LON:BE01,"http://finance.yahoo.com/echarts?s=BE01.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
413,BEE,LSE,BEE.L,LON:BEE,https://www.google.com/finance?q=LON:BEE,"http://finance.yahoo.com/echarts?s=BEE.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
414,BEEP,LSE,BEEP.L,LON:BEEP,https://www.google.com/finance?q=LON:BEEP,"http://finance.yahoo.com/echarts?s=BEEP.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
415,BEG,LSE,BEG.L,LON:BEG,https://www.google.com/finance?q=LON:BEG,"http://finance.yahoo.com/echarts?s=BEG.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
416,BEGOV01,LSE,BEGOV01.L,LON:BEGOV01,https://www.google.com/finance?q=LON:BEGOV01,"http://finance.yahoo.com/echarts?s=BEGOV01.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
417,BEM,LSE,BEM.L,LON:BEM,https://www.google.com/finance?q=LON:BEM,"http://finance.yahoo.com/echarts?s=BEM.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
418,BEZ,LSE,BEZ.L,LON:BEZ,https://www.google.com/finance?q=LON:BEZ,"http://finance.yahoo.com/echarts?s=BEZ.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
419,BFA,LSE,BFA.L,LON:BFA,https://www.google.com/finance?q=LON:BFA,"http://finance.yahoo.com/echarts?s=BFA.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
420,BGEO,LSE,BGEO.L,LON:BGEO,https://www.google.com/finance?q=LON:BGEO,"http://finance.yahoo.com/echarts?s=BGEO.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
421,BGFD,LSE,BGFD.L,LON:BGFD,https://www.google.com/finance?q=LON:BGFD,"http://finance.yahoo.com/echarts?s=BGFD.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
422,BGHL,LSE,BGHL.L,LON:BGHL,https://www.google.com/finance?q=LON:BGHL,"http://finance.yahoo.com/echarts?s=BGHL.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
423,BGHS,LSE,BGHS.L,LON:BGHS,https://www.google.com/finance?q=LON:BGHS,"http://finance.yahoo.com/echarts?s=BGHS.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
424,BGLF,LSE,BGLF.L,LON:BGLF,https://www.google.com/finance?q=LON:BGLF,"http://finance.yahoo.com/echarts?s=BGLF.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
425,BGO,LSE,BGO.L,LON:BGO,https://www.google.com/finance?q=LON:BGO,"http://finance.yahoo.com/echarts?s=BGO.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
426,BGS,LSE,BGS.L,LON:BGS,https://www.google.com/finance?q=LON:BGS,"http://finance.yahoo.com/echarts?s=BGS.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
427,BHGG,LSE,BHGG.L,LON:BHGG,https://www.google.com/finance?q=LON:BHGG,"http://finance.yahoo.com/echarts?s=BHGG.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
428,BHGU,LSE,BHGU.L,LON:BHGU,https://www.google.com/finance?q=LON:BHGU,"http://finance.yahoo.com/echarts?s=BHGU.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
429,BHME,LSE,BHME.L,LON:BHME,https://www.google.com/finance?q=LON:BHME,"http://finance.yahoo.com/echarts?s=BHME.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
430,BHMG,LSE,BHMG.L,LON:BHMG,https://www.google.com/finance?q=LON:BHMG,"http://finance.yahoo.com/echarts?s=BHMG.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
431,BHMU,LSE,BHMU.L,LON:BHMU,https://www.google.com/finance?q=LON:BHMU,"http://finance.yahoo.com/echarts?s=BHMU.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
432,BHRD,LSE,BHRD.L,LON:BHRD,https://www.google.com/finance?q=LON:BHRD,"http://finance.yahoo.com/echarts?s=BHRD.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
433,BHY,LSE,BHY.L,LON:BHY,https://www.google.com/finance?q=LON:BHY,"http://finance.yahoo.com/echarts?s=BHY.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
434,BILB,LSE,BILB.L,LON:BILB,https://www.google.com/finance?q=LON:BILB,"http://finance.yahoo.com/echarts?s=BILB.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
435,BILL,LSE,BILL.L,LON:BILL,https://www.google.com/finance?q=LON:BILL,"http://finance.yahoo.com/echarts?s=BILL.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
436,BILN,LSE,BILN.L,LON:BILN,https://www.google.com/finance?q=LON:BILN,"http://finance.yahoo.com/echarts?s=BILN.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
437,BIOG,LSE,BIOG.L,LON:BIOG,https://www.google.com/finance?q=LON:BIOG,"http://finance.yahoo.com/echarts?s=BIOG.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
438,BIOM,LSE,BIOM.L,LON:BIOM,https://www.google.com/finance?q=LON:BIOM,"http://finance.yahoo.com/echarts?s=BIOM.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
439,BISI,LSE,BISI.L,LON:BISI,https://www.google.com/finance?q=LON:BISI,"http://finance.yahoo.com/echarts?s=BISI.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
440,BIST,LSE,BIST.L,LON:BIST,https://www.google.com/finance?q=LON:BIST,"http://finance.yahoo.com/echarts?s=BIST.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
441,BJU,LSE,BJU.L,LON:BJU,https://www.google.com/finance?q=LON:BJU,"http://finance.yahoo.com/echarts?s=BJU.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
442,BKG,LSE,BKG.L,LON:BKG,https://www.google.com/finance?q=LON:BKG,"http://finance.yahoo.com/echarts?s=BKG.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
443,BKIR,LSE,BKIR.L,LON:BKIR,https://www.google.com/finance?q=LON:BKIR,"http://finance.yahoo.com/echarts?s=BKIR.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
444,BKY,LSE,BKY.L,LON:BKY,https://www.google.com/finance?q=LON:BKY,"http://finance.yahoo.com/echarts?s=BKY.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
445,BL23,LSE,BL23.L,LON:BL23,https://www.google.com/finance?q=LON:BL23,"http://finance.yahoo.com/echarts?s=BL23.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
446,BLBD,LSE,BLBD.L,LON:BLBD,https://www.google.com/finance?q=LON:BLBD,"http://finance.yahoo.com/echarts?s=BLBD.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
447,BLEY,LSE,BLEY.L,LON:BLEY,https://www.google.com/finance?q=LON:BLEY,"http://finance.yahoo.com/echarts?s=BLEY.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
448,BLND,LSE,BLND.L,LON:BLND,https://www.google.com/finance?q=LON:BLND,"http://finance.yahoo.com/echarts?s=BLND.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
449,BLNX,LSE,BLNX.L,LON:BLNX,https://www.google.com/finance?q=LON:BLNX,"http://finance.yahoo.com/echarts?s=BLNX.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
450,BLP,LSE,BLP.L,LON:BLP,https://www.google.com/finance?q=LON:BLP,"http://finance.yahoo.com/echarts?s=BLP.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
451,BLT,LSE,BLT.L,LON:BLT,https://www.google.com/finance?q=LON:BLT,"http://finance.yahoo.com/echarts?s=BLT.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
452,BLTG,LSE,BLTG.L,LON:BLTG,https://www.google.com/finance?q=LON:BLTG,"http://finance.yahoo.com/echarts?s=BLTG.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
453,BLU,LSE,BLU.L,LON:BLU,https://www.google.com/finance?q=LON:BLU,"http://finance.yahoo.com/echarts?s=BLU.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
454,BLUR,LSE,BLUR.L,LON:BLUR,https://www.google.com/finance?q=LON:BLUR,"http://finance.yahoo.com/echarts?s=BLUR.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
455,BLV,LSE,BLV.L,LON:BLV,https://www.google.com/finance?q=LON:BLV,"http://finance.yahoo.com/echarts?s=BLV.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
456,BLVN,LSE,BLVN.L,LON:BLVN,https://www.google.com/finance?q=LON:BLVN,"http://finance.yahoo.com/echarts?s=BLVN.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
457,BMD,LSE,BMD.L,LON:BMD,https://www.google.com/finance?q=LON:BMD,"http://finance.yahoo.com/echarts?s=BMD.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
458,BME,LSE,BME.L,LON:BME,https://www.google.com/finance?q=LON:BME,"http://finance.yahoo.com/echarts?s=BME.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
459,BMK,LSE,BMK.L,LON:BMK,https://www.google.com/finance?q=LON:BMK,"http://finance.yahoo.com/echarts?s=BMK.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
460,BMN,LSE,BMN.L,LON:BMN,https://www.google.com/finance?q=LON:BMN,"http://finance.yahoo.com/echarts?s=BMN.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
461,BMR,LSE,BMR.L,LON:BMR,https://www.google.com/finance?q=LON:BMR,"http://finance.yahoo.com/echarts?s=BMR.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
462,BMS,LSE,BMS.L,LON:BMS,https://www.google.com/finance?q=LON:BMS,"http://finance.yahoo.com/echarts?s=BMS.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
463,BMT,LSE,BMT.L,LON:BMT,https://www.google.com/finance?q=LON:BMT,"http://finance.yahoo.com/echarts?s=BMT.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
464,BMV,LSE,BMV.L,LON:BMV,https://www.google.com/finance?q=LON:BMV,"http://finance.yahoo.com/echarts?s=BMV.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
465,BMY,LSE,BMY.L,LON:BMY,https://www.google.com/finance?q=LON:BMY,"http://finance.yahoo.com/echarts?s=BMY.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
466,BNC,LSE,BNC.L,LON:BNC,https://www.google.com/finance?q=LON:BNC,"http://finance.yahoo.com/echarts?s=BNC.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
467,BNK,LSE,BNK.L,LON:BNK,https://www.google.com/finance?q=LON:BNK,"http://finance.yahoo.com/echarts?s=BNK.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
468,BNKR,LSE,BNKR.L,LON:BNKR,https://www.google.com/finance?q=LON:BNKR,"http://finance.yahoo.com/echarts?s=BNKR.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
469,BNR,LSE,BNR.L,LON:BNR,https://www.google.com/finance?q=LON:BNR,"http://finance.yahoo.com/echarts?s=BNR.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
470,BNZL,LSE,BNZL.L,LON:BNZL,https://www.google.com/finance?q=LON:BNZL,"http://finance.yahoo.com/echarts?s=BNZL.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
471,BOD,LSE,BOD.L,LON:BOD,https://www.google.com/finance?q=LON:BOD,"http://finance.yahoo.com/echarts?s=BOD.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
472,BOE,LSE,BOE.L,LON:BOE,https://www.google.com/finance?q=LON:BOE,"http://finance.yahoo.com/echarts?s=BOE.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
473,BOI,LSE,BOI.L,LON:BOI,https://www.google.com/finance?q=LON:BOI,"http://finance.yahoo.com/echarts?s=BOI.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
474,BOIL,LSE,BOIL.L,LON:BOIL,https://www.google.com/finance?q=LON:BOIL,"http://finance.yahoo.com/echarts?s=BOIL.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
475,BOK,LSE,BOK.L,LON:BOK,https://www.google.com/finance?q=LON:BOK,"http://finance.yahoo.com/echarts?s=BOK.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
476,BON,LSE,BON.L,LON:BON,https://www.google.com/finance?q=LON:BON,"http://finance.yahoo.com/echarts?s=BON.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
477,BOO,LSE,BOO.L,LON:BOO,https://www.google.com/finance?q=LON:BOO,"http://finance.yahoo.com/echarts?s=BOO.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
478,BOOM,LSE,BOOM.L,LON:BOOM,https://www.google.com/finance?q=LON:BOOM,"http://finance.yahoo.com/echarts?s=BOOM.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
479,BOR,LSE,BOR.L,LON:BOR,https://www.google.com/finance?q=LON:BOR,"http://finance.yahoo.com/echarts?s=BOR.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
480,BOTB,LSE,BOTB.L,LON:BOTB,https://www.google.com/finance?q=LON:BOTB,"http://finance.yahoo.com/echarts?s=BOTB.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
481,BOY,LSE,BOY.L,LON:BOY,https://www.google.com/finance?q=LON:BOY,"http://finance.yahoo.com/echarts?s=BOY.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
482,BP,LSE,BP.L,LON:BP,https://www.google.com/finance?q=LON:BP,"http://finance.yahoo.com/echarts?s=BP.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
483,BP.A,LSE,BP.A.L,LON:BP.A,https://www.google.com/finance?q=LON:BP.A,"http://finance.yahoo.com/echarts?s=BP.A.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
484,BP.B,LSE,BP.B.L,LON:BP.B,https://www.google.com/finance?q=LON:BP.B,"http://finance.yahoo.com/echarts?s=BP.B.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
485,BPC,LSE,BPC.L,LON:BPC,https://www.google.com/finance?q=LON:BPC,"http://finance.yahoo.com/echarts?s=BPC.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
486,BPI,LSE,BPI.L,LON:BPI,https://www.google.com/finance?q=LON:BPI,"http://finance.yahoo.com/echarts?s=BPI.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
487,BPM,LSE,BPM.L,LON:BPM,https://www.google.com/finance?q=LON:BPM,"http://finance.yahoo.com/echarts?s=BPM.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
488,BQAD,LSE,BQAD.L,LON:BQAD,https://www.google.com/finance?q=LON:BQAD,"http://finance.yahoo.com/echarts?s=BQAD.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
489,BQE,LSE,BQE.L,LON:BQE,https://www.google.com/finance?q=LON:BQE,"http://finance.yahoo.com/echarts?s=BQE.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
490,BR06,LSE,BR06.L,LON:BR06,https://www.google.com/finance?q=LON:BR06,"http://finance.yahoo.com/echarts?s=BR06.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
491,BR88,LSE,BR88.L,LON:BR88,https://www.google.com/finance?q=LON:BR88,"http://finance.yahoo.com/echarts?s=BR88.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
492,BRAM,LSE,BRAM.L,LON:BRAM,https://www.google.com/finance?q=LON:BRAM,"http://finance.yahoo.com/echarts?s=BRAM.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
493,BRBY,LSE,BRBY.L,LON:BRBY,https://www.google.com/finance?q=LON:BRBY,"http://finance.yahoo.com/echarts?s=BRBY.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
494,BRCI,LSE,BRCI.L,LON:BRCI,https://www.google.com/finance?q=LON:BRCI,"http://finance.yahoo.com/echarts?s=BRCI.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
495,BRD,LSE,BRD.L,LON:BRD,https://www.google.com/finance?q=LON:BRD,"http://finance.yahoo.com/echarts?s=BRD.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
496,BREE,LSE,BREE.L,LON:BREE,https://www.google.com/finance?q=LON:BREE,"http://finance.yahoo.com/echarts?s=BREE.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
497,BREM,LSE,BREM.L,LON:BREM,https://www.google.com/finance?q=LON:BREM,"http://finance.yahoo.com/echarts?s=BREM.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
498,BRFI,LSE,BRFI.L,LON:BRFI,https://www.google.com/finance?q=LON:BRFI,"http://finance.yahoo.com/echarts?s=BRFI.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
499,BRGE,LSE,BRGE.L,LON:BRGE,https://www.google.com/finance?q=LON:BRGE,"http://finance.yahoo.com/echarts?s=BRGE.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
500,BRGS,LSE,BRGS.L,LON:BRGS,https://www.google.com/finance?q=LON:BRGS,"http://finance.yahoo.com/echarts?s=BRGS.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
501,BRH,LSE,BRH.L,LON:BRH,https://www.google.com/finance?q=LON:BRH,"http://finance.yahoo.com/echarts?s=BRH.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
502,BRIC,LSE,BRIC.L,LON:BRIC,https://www.google.com/finance?q=LON:BRIC,"http://finance.yahoo.com/echarts?s=BRIC.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
503,BRICUL2X,LSE,BRICUL2X.L,LON:BRICUL2X,https://www.google.com/finance?q=LON:BRICUL2X,"http://finance.yahoo.com/echarts?s=BRICUL2X.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
504,BRICUL3X,LSE,BRICUL3X.L,LON:BRICUL3X,https://www.google.com/finance?q=LON:BRICUL3X,"http://finance.yahoo.com/echarts?s=BRICUL3X.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
505,BRICUS1X,LSE,BRICUS1X.L,LON:BRICUS1X,https://www.google.com/finance?q=LON:BRICUS1X,"http://finance.yahoo.com/echarts?s=BRICUS1X.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
506,BRICUS2X,LSE,BRICUS2X.L,LON:BRICUS2X,https://www.google.com/finance?q=LON:BRICUS2X,"http://finance.yahoo.com/echarts?s=BRICUS2X.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
507,BRICUS3X,LSE,BRICUS3X.L,LON:BRICUS3X,https://www.google.com/finance?q=LON:BRICUS3X,"http://finance.yahoo.com/echarts?s=BRICUS3X.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
508,BRIG,LSE,BRIG.L,LON:BRIG,https://www.google.com/finance?q=LON:BRIG,"http://finance.yahoo.com/echarts?s=BRIG.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
509,BRK,LSE,BRK.L,LON:BRK,https://www.google.com/finance?q=LON:BRK,"http://finance.yahoo.com/echarts?s=BRK.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
510,BRLA,LSE,BRLA.L,LON:BRLA,https://www.google.com/finance?q=LON:BRLA,"http://finance.yahoo.com/echarts?s=BRLA.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
511,BRNA,LSE,BRNA.L,LON:BRNA,https://www.google.com/finance?q=LON:BRNA,"http://finance.yahoo.com/echarts?s=BRNA.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
512,BRND,LSE,BRND.L,LON:BRND,https://www.google.com/finance?q=LON:BRND,"http://finance.yahoo.com/echarts?s=BRND.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
513,BRNT,LSE,BRNT.L,LON:BRNT,https://www.google.com/finance?q=LON:BRNT,"http://finance.yahoo.com/echarts?s=BRNT.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
514,BRSC,LSE,BRSC.L,LON:BRSC,https://www.google.com/finance?q=LON:BRSC,"http://finance.yahoo.com/echarts?s=BRSC.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
515,BRSN,LSE,BRSN.L,LON:BRSN,https://www.google.com/finance?q=LON:BRSN,"http://finance.yahoo.com/echarts?s=BRSN.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
516,BRU1,LSE,BRU1.L,LON:BRU1,https://www.google.com/finance?q=LON:BRU1,"http://finance.yahoo.com/echarts?s=BRU1.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
517,BRW,LSE,BRW.L,LON:BRW,https://www.google.com/finance?q=LON:BRW,"http://finance.yahoo.com/echarts?s=BRW.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
518,BRWM,LSE,BRWM.L,LON:BRWM,https://www.google.com/finance?q=LON:BRWM,"http://finance.yahoo.com/echarts?s=BRWM.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
519,BRY,LSE,BRY.L,LON:BRY,https://www.google.com/finance?q=LON:BRY,"http://finance.yahoo.com/echarts?s=BRY.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
520,BRZ,LSE,BRZ.L,LON:BRZ,https://www.google.com/finance?q=LON:BRZ,"http://finance.yahoo.com/echarts?s=BRZ.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
521,BSC,LSE,BSC.L,LON:BSC,https://www.google.com/finance?q=LON:BSC,"http://finance.yahoo.com/echarts?s=BSC.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
522,BSD,LSE,BSD.L,LON:BSD,https://www.google.com/finance?q=LON:BSD,"http://finance.yahoo.com/echarts?s=BSD.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
523,BSE,LSE,BSE.L,LON:BSE,https://www.google.com/finance?q=LON:BSE,"http://finance.yahoo.com/echarts?s=BSE.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
524,BSIF,LSE,BSIF.L,LON:BSIF,https://www.google.com/finance?q=LON:BSIF,"http://finance.yahoo.com/echarts?s=BSIF.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
