MF.PA,Wendel,103.8011:35AM EDT, 1.55(1.52%),"70,878"
ML.PA,Compagnie Generale DES Etablissements Michelin SCA,88.3811:35AM EDT, 2.00(2.32%),"781,435"
MT.AS,ARCELORMITTAL REG,3.96 11:39AM EDT, 0.03(0.79%),"21,263,352"
NK.PA,Imerys SA,61.4111:35AM EDT, 0.57(0.94%),"67,853"
NN.AS,NN GROUP,29.0511:35AM EDT, 0.23(0.80%),"1,057,459"
NOKIA.HE,NOKIA,4.65 11:29AM EDT, 0.04(0.87%),"22,297,780"
OR.PA,L'Oreal SA,160.6511:35AM EDT, 2.45(1.55%),"790,604"
ORA.PA,Orange,15.2111:36AM EDT, 0.26(1.71%),"7,274,638"
PHIA.AS,ROY.PHILIPS,23.0011:36AM EDT, 0.11(0.46%),"3,392,646"
POM.PA,Compagnie Plastic Omnium SA,28.7111:35AM EDT, 0.68(2.43%),"155,565"
PROX.BR,PROXIMUS,28.5811:35AM EDT, 0.58(2.07%),"597,516"
PUB.PA,Publicis Groupe SA,64.7711:35AM EDT, 1.26(1.98%),"517,787"
RAND.AS,RANDSTAD HOLDING,45.8011:35AM EDT, 0.17(0.36%),"578,000"
RDSA.AS,ROYAL DUTCH SHELL-A,21.9611:39AM EDT, 0.28(1.31%),"8,697,482"
REN.AS,RELX NV,15.1811:35AM EDT, 0.25(1.68%),"1,824,633"
RI.PA,Pernod-Ricard SA,94.8211:35AM EDT, 0.97(1.03%),"399,884"
RNO.PA,Renault SA,79.8911:35AM EDT, 0.84(1.06%),"979,711"
SAF.PA,Safran SA,59.9811:35AM EDT, 1.41(2.41%),"1,205,950"
SAN.PA,Sanofi,71.1811:37AM EDT, 2.18(3.16%),"4,662,089"
SCR.PA,SCOR SE,28.4511:35AM EDT, 0.05(0.16%),"410,723"
SESG.PA,"SES, S.A.",22.0411:35AM EDT, 0.27(1.22%),"707,149"
SEV.PA,Suez Environnement Company SA,14.7611:35AM EDT, 0.21(1.41%),"1,627,515"
SGO.PA,Compagnie de Saint-Gobain S.A.,38.7811:35AM EDT, 0.51(1.35%),"2,102,201"
SOLB.BR,Solvay SA,86.3611:35AM EDT, 0.32(0.37%),"350,056"
STM.PA,STMicroelectronics NV,5.14 11:35AM EDT, 0.13(2.57%),"4,022,760"
SU.PA,Schneider Electric SE,56.2511:35AM EDT, 0.78(1.41%),"1,654,935"
SW.PA,Sodexo S.A.,91.7811:35AM EDT, 1.63(1.81%),"280,935"
TEC.PA,Technip SA,47.6911:39AM EDT, 1.61(3.28%),"3,057,874"
TNET.BR,Telenet Group Holding NV,42.1411:38AM EDT, 0.42(1.02%),"129,919"
UCB.BR,UCB S.A.,68.6111:35AM EDT, 2.68(4.06%),"299,994"
UG.PA,Peugeot S.A.,13.2611:36AM EDT, 0.18(1.38%),"3,417,823"
UL.AS,UNIBAIL-RODAMCO,235.7011:37AM EDT, 4.45(1.92%),"311,318"
UMI.BR,Umicore S.A.,43.6711:35AM EDT, 0.25(0.58%),"249,997"
UNA.AS,UNILEVER CERT,38.9911:38AM EDT, 0.37(0.96%),"4,014,793"
VIE.PA,Veolia Environnement S.A.,19.6211:37AM EDT, 0.20(1.03%),"2,779,487"
VIV.PA,Vivendi SA,17.3211:36AM EDT, 0.32(1.85%),"5,074,199"
VPK.AS,KON.VOPAK NV,46.4411:35AM EDT, 0.07(0.15%),"372,260"
WKL.AS,WOLTERS KLUWER,34.8111:35AM EDT, 0.77(2.26%),"1,230,499"
ZC.PA,Zodiac Aerospace,21.3611:35AM EDT, 0.08(0.35%),"860,454"
